Location,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,NewTests,TotalTests,MedianAge,Aged65Older,Aged70Older,GdpPerCapita,ExtremePoverty,CardiovascDeathRate,DiabetesPrevalence,FemaleSmokers,MaleSmokers,HandwashingFacilities,HospitalBedsPerThousand,LifeExpectancy
United States,7/25/2020,4112529,78427,145546,1304,797589,50635683,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/17/2020,3576221,76930,138358,939,837392,44266952,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/22/2020,3902058,72048,142066,1160,795502,48083857,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/18/2020,3647715,71494,139266,908,761632,45028584,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/23/2020,3970906,68848,143190,1124,824399,48908256,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/15/2020,3431574,68518,136466,861,761997,42601996,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/16/2020,3499291,67717,137419,953,827564,43429560,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/11/2020,3184633,66625,134097,806,698444,39618117,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/26/2020,4178027,65498,146460,914,855811,51491494,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,7/19/2020,3711464,63749,140119,853,798508,45827092,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
